Date,Day,Event,Time,Location,Emoji
2025-01-02,Jueves,Blitz,5 PM,🐝 Mead Garden,⚡
2025-01-09,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-01-16,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-01-23,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-01-30,Jueves,Play Testing,5 PM,🌪️ Chaos Store,🧪
2025-01-31,Viernes,Learn to Play,5PM, 🌪️ Chaos Store,🎓
2025-02-14,Viernes,Learn to Play,5PM, 🌪️ Chaos Store,🎓
2025-02-28,Viernes,Learn to Play,5PM, 🌪️ Chaos Store,🎓
2025-03-14,Viernes,Learn to Play,5PM, 🌪️ Chaos Store,🎓
2025-03-28,Viernes,Learn to Play,5PM, 🌪️ Chaos Store,🎓
2025-02-06,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-02-13,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-02-20,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-02-27,Jueves,Play Testing,5 PM,🌪️ Chaos Store,🧪
2025-03-06,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-03-13,Jueves,Armory / Blitz,5 PM,🌪️ Chaos Store,⚡🛡️
2025-03-20,Jueves,Blitz,5 PM,🌪️ Chaos Store,⚡
2025-03-27,Jueves,Play Testing,5 PM,🌪️ Chaos Store,🧪
2025-01-04,Sábado,Classic Constructed,3 PM,🐝 Mead Garden, 🏗️
2025-01-11,Sábado,Classic Constructed,3 PM,🌪️ Chaos Store, 🏗️
2025-01-18,Sábado,Classic Constructed,3 PM,🌪️ Chaos Store, 🏗️
2025-01-25,Sábado,Classic Constructed,3 PM,🌪️ Chaos Store, 🏗️
2025-02-08,Sábado,Classic Constructed,3 PM,🌪️ Chaos Store, 🏗️
2025-02-22,Sábado,Classic Constructed, 3 PM,🌪️ Chaos Store, 🏗️
2025-03-08,Sábado,Armory / Classic Constructed,3 PM,🌪️ Chaos Store, 🏗️🛡️
2025-03-22,Sábado,Armory / Classic Constructed - Cierre de Temporada,3 PM,🌪️ Chaos Store, 🏗️🛡️🏆 
2025-02-02,Domingo,The Hunted ❌ Launch Event - Sealed Draft,3 PM,🌪️ Chaos Store,✍️
2025-02-15,Sábado,The Hunted ❌ Precons Tournament,3 PM,🌪️ Chaos Store,📦
2025-03-01,Sábado,Armory / The Hunted  ❌ Sealed Draft,5 PM,🌪️ Chaos Store,✍️🛡️
2025-03-15,Sábado,The Hunted  ❌ Blitz Precons Event,5 PM, 🌪️ Chaos Store,📦
